time	V(cmp_out)	V(filt_out)	V(vin_sensor)
4.306535759703444e-01	3.272648e+00	1.227177e+00	1.234748e-01
4.311655759703444e-01	3.298206e+00	1.231275e+00	1.238905e-01
4.400227188274872e-01	3.299012e+00	1.309992e+00	1.318612e-01
4.488798616846301e-01	3.299634e+00	1.394427e+00	1.403908e-01
4.577370045417730e-01	3.300073e+00	1.484580e+00	1.494793e-01
4.665941473989159e-01	3.300329e+00	1.580450e+00	1.591267e-01
4.754512902560587e-01	3.300403e+00	1.682037e+00	1.693330e-01
4.843084331132016e-01	3.300293e+00	1.789342e+00	1.800981e-01
4.931655759703444e-01	3.300000e+00	1.902365e+00	1.914222e-01
5.031655759703444e-01	3.300000e+00	2.032561e+00	2.044452e-01
5.131655759703444e-01	3.300000e+00	2.157557e+00	2.169308e-01
5.231655759703444e-01	3.300000e+00	2.277355e+00	2.288792e-01
5.331655759703444e-01	3.300000e+00	2.391954e+00	2.402903e-01
5.431655759703444e-01	3.300000e+00	2.501353e+00	2.511640e-01
5.531655759703444e-01	3.300000e+00	2.605553e+00	2.615005e-01
5.631655759703444e-01	3.300000e+00	2.704554e+00	2.712996e-01
5.725941473989159e-01	3.300000e+00	2.785195e+00	2.792540e-01
5.820227188274874e-01	3.300000e+00	2.852983e+00	2.859171e-01
5.914512902560588e-01	3.300000e+00	2.907918e+00	2.912889e-01
6.008798616846303e-01	3.300000e+00	2.950000e+00	2.953694e-01
6.103084331132016e-01	3.300000e+00	2.979229e+00	2.981585e-01
6.197370045417731e-01	3.300000e+00	2.995605e+00	2.996564e-01
6.291655759703445e-01	3.300000e+00	2.999128e+00	2.998630e-01
6.388798616846302e-01	3.300000e+00	2.984969e+00	2.982977e-01
6.485941473989160e-01	3.300000e+00	2.957740e+00	2.954332e-01
6.583084331132016e-01	3.300000e+00	2.917439e+00	2.912695e-01
6.680227188274874e-01	3.300000e+00	2.864067e+00	2.858065e-01
6.777370045417731e-01	3.300000e+00	2.797625e+00	2.790443e-01
6.874512902560589e-01	3.300000e+00	2.718111e+00	2.709829e-01
6.971655759703446e-01	3.300000e+00	2.625526e+00	2.616222e-01
7.068798616846302e-01	3.300000e+00	2.521588e+00	2.511431e-01
7.165941473989160e-01	3.300000e+00	2.414046e+00	2.403206e-01
7.263084331132017e-01	3.300000e+00	2.302902e+00	2.291548e-01
7.360227188274875e-01	3.300000e+00	2.188155e+00	2.176455e-01
7.457370045417732e-01	3.300000e+00	2.069804e+00	2.057929e-01
7.554512902560589e-01	3.300000e+00	1.947851e+00	1.935969e-01
7.651655759703446e-01	3.300000e+00	1.822295e+00	1.810575e-01
7.730227188274875e-01	3.300000e+00	1.724042e+00	1.712603e-01
7.808798616846303e-01	3.300000e+00	1.630613e+00	1.619554e-01
7.887370045417732e-01	3.300000e+00	1.542009e+00	1.531428e-01
7.965941473989161e-01	3.300000e+00	1.458229e+00	1.448226e-01
8.044512902560590e-01	3.299999e+00	1.379273e+00	1.369948e-01
8.123084331132018e-01	3.299999e+00	1.305141e+00	1.296593e-01
8.201655759703447e-01	3.299998e+00	1.235833e+00	1.228162e-01
8.211655759703447e-01	3.281766e+00	1.227789e+00	1.220233e-01
8.212905759703447e-01	3.264763e+00	1.226793e+00	1.219251e-01
8.215405759703447e-01	3.171158e+00	1.224805e+00	1.217292e-01
8.216030759703447e-01	3.123405e+00	1.224309e+00	1.216803e-01
8.217280759703447e-01	2.974530e+00	1.223319e+00	1.215827e-01
8.219810759703446e-01	2.332636e+00	1.221320e+00	1.213859e-01
8.220037902560590e-01	2.246078e+00	1.221141e+00	1.213682e-01
8.220265045417732e-01	2.157853e+00	1.220962e+00	1.213506e-01
8.220492188274875e-01	2.067960e+00	1.220783e+00	1.213330e-01
8.220719331132018e-01	1.976399e+00	1.220604e+00	1.213153e-01
8.220946473989161e-01	1.883171e+00	1.220426e+00	1.212977e-01
8.221173616846303e-01	1.788275e+00	1.220247e+00	1.212801e-01
